index,emotion
0,0
1,2
2,0
3,0
4,0
5,0
6,2
7,1
8,0
9,2
10,2
11,2
12,0
13,3
14,4
15,2
16,0
17,4
18,0
19,3
20,3
21,0
22,3
23,3
24,3
25,3
26,4
27,4
28,3
29,4
30,0
31,3
32,1
33,4
34,0
35,2
36,0
37,0
38,0
39,0
40,0
41,0
42,5
43,2
44,0
45,5
46,4
47,0
48,0
49,0
50,3
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,2
59,2
60,0
61,0
62,0
63,0
64,5
65,2
66,0
67,2
68,0
69,0
70,0
71,2
72,0
73,0
74,0
75,0
76,1
77,0
78,0
79,0
80,3
81,2
82,0
83,3
84,3
85,3
86,3
87,0
88,0
89,3
90,2
91,5
92,5
93,4
94,4
95,0
96,0
97,4
98,4
99,3
100,4
101,3
102,0
103,4
104,2
105,3
106,0
107,4
108,2
109,1
110,1
111,0
112,2
113,0
114,0
115,0
116,0
117,2
118,0
119,0
120,2
121,2
122,0
123,5
124,2
125,0
126,0
127,0
128,2
129,0
130,2
131,2
132,2
133,0
134,5
135,2
136,0
137,0
138,0
139,2
140,0
141,0
142,0
143,0
144,0
145,3
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,2
154,2
155,0
156,2
157,2
158,2
159,5
160,0
161,2
162,2
163,2
164,2
165,2
166,5
167,0
168,2
169,0
170,0
171,0
172,0
173,2
174,0
175,2
176,2
177,2
178,2
179,2
180,2
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,2
189,2
190,0
191,0
192,2
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,3
202,0
203,1
204,0
205,0
206,5
207,1
208,0
209,0
210,3
211,0
212,1
213,0
214,2
215,2
216,5
217,0
218,5
219,2
220,1
221,2
222,5
223,0
224,5
225,1
226,2
227,2
228,0
229,0
230,3
231,0
232,1
233,3
234,0
235,1
236,1
237,0
238,0
239,0
240,1
241,1
242,0
243,5
244,0
245,0
246,0
247,0
248,2
249,0
250,5
251,1
252,2
253,0
254,0
255,1
256,0
257,0
258,0
259,2
260,5
261,0
262,5
263,5
264,1
265,2
266,5
267,0
268,5
269,0
270,0
271,0
272,0
273,0
274,1
275,0
276,4
277,2
278,1
279,0
280,2
281,0
282,2
283,0
284,1
285,4
286,0
287,2
288,0
289,0
290,4
291,2
292,1
293,2
294,0
295,0
296,0
297,1
298,3
299,2
300,3
301,2
302,3
303,4
304,3
305,2
306,0
307,0
308,1
309,4
310,3
311,4
312,0
313,0
314,0
315,2
316,0
317,3
318,1
319,2
320,4
321,4
322,3
323,0
324,4
325,0
326,3
327,3
328,2
329,0
330,2
331,0
332,0
333,2
334,3
335,2
336,0
337,2
338,0
339,3
340,2
341,5
342,1
343,2
344,0
345,0
346,2
347,2
348,2
349,0
350,0
351,4
352,5
353,2
354,5
355,0
356,0
357,2
358,0
359,0
360,4
361,0
362,5
363,0
364,5
365,3
366,0
367,0
368,2
369,0
370,5
371,3
372,0
373,0
374,0
375,0
376,3
377,3
378,4
379,0
380,0
381,2
382,0
383,2
384,0
385,3
386,3
387,4
388,3
389,0
390,0
391,0
392,2
393,4
394,4
395,0
396,4
397,4
398,0
399,0
400,5
401,0
402,2
403,0
404,0
405,2
406,2
407,2
408,3
409,0
410,2
411,0
412,3
413,1
414,0
415,4
416,0
417,3
418,5
419,2
420,2
421,2
422,2
423,3
424,2
425,0
426,0
427,0
428,4
429,0
430,3
431,1
432,2
433,6
434,0
435,1
436,1
437,2
438,2
439,2
440,0
441,0
442,0
443,0
444,0
445,0
446,1
447,4
448,0
449,1
450,0
451,1
452,2
453,0
454,2
455,3
456,0
457,2
458,2
459,2
460,0
461,4
462,2
463,2
464,2
465,3
466,3
467,2
468,2
469,0
470,2
471,2
472,3
473,3
474,2
475,2
476,2
477,2
478,0
479,0
480,0
481,3
482,0
483,2
484,3
485,0
486,0
487,3
488,3
489,0
490,2
491,2
492,0
493,3
494,0
495,2
496,3
497,3
498,0
499,2
500,2
501,2
502,4
503,0
504,2
505,0
506,2
507,4
508,0
509,0
510,3
511,2
512,2
513,4
514,0
515,2
516,2
517,0
518,2
519,0
520,0
521,0
522,2
523,0
524,5
525,0
526,2
527,0
528,0
529,1
530,2
531,0
532,2
533,4
534,0
535,3
536,2
537,2
538,1
539,1
540,4
541,2
542,2
543,0
544,6
545,4
546,2
547,0
548,0
549,0
550,0
551,2
552,5
553,0
554,0
555,5
556,4
557,0
558,5
559,2
560,0
561,5
562,0
563,2
564,0
565,0
566,0
567,2
568,5
569,0
570,0
571,5
572,0
573,0
574,2
575,0
576,2
577,2
578,2
579,2
580,2
581,2
582,0
583,2
584,2
585,2
586,0
587,0
588,2
589,0
590,2
591,0
592,0
593,0
594,0
595,3
596,2
597,2
598,0
599,0
600,0
601,2
602,0
603,2
604,0
605,2
606,0
607,0
608,5
609,0
610,0
611,4
612,3
613,2
614,2
615,1
616,2
617,3
618,0
619,3
620,4
621,0
622,2
623,3
624,1
625,1
626,2
627,1
628,1
629,0
630,2
631,2
632,4
633,2
634,2
635,3
636,2
637,0
638,4
639,0
640,2
641,2
642,0
643,5
644,0
645,0
646,5
647,2
648,0
649,3
650,0
651,2
652,3
653,5
654,1
655,0
656,2
657,1
658,0
659,2
660,4
661,1
662,2
663,2
664,3
665,1
666,2
667,0
668,2
669,2
670,2
671,3
672,0
673,0
674,0
675,1
676,0
677,0
678,0
679,2
680,2
681,0
682,0
683,0
684,0
685,0
686,2
687,2
688,0
689,0
690,3
691,1
692,2
693,0
694,0
695,2
696,0
697,0
698,3
699,1
700,2
701,2
702,1
703,4
704,2
705,2
706,1
707,0
708,3
709,0
710,0
711,0
712,2
713,3
714,0
715,0
716,5
717,2
718,0
719,0
720,0
721,0
722,0
723,0
724,2
725,0
726,0
727,0
728,0
729,3
730,0
731,2
732,2
733,0
734,0
735,0
736,0
737,2
738,0
739,2
740,0
741,0
742,0
743,2
744,0
745,2
746,0
747,0
748,0
749,0
750,2
751,0
752,0
753,0
754,2
755,0
756,2
757,0
758,0
759,0
760,0
761,1
762,1
763,0
764,0
765,3
766,2
767,1
768,0
769,3
770,0
771,6
772,0
773,0
774,1
775,3
776,0
777,0
778,0
779,0
780,0
781,2
782,4
783,0
784,3
785,3
786,0
787,4
788,2
789,2
790,0
791,0
792,1
793,5
794,4
795,0
796,3
797,3
798,0
799,4
800,2
801,0
802,1
803,0
804,0
805,0
806,0
807,2
808,0
809,4
810,0
811,3
812,3
813,0
814,4
815,2
816,1
817,1
818,0
819,0
820,0
821,0
822,0
823,0
824,2
825,3
826,2
827,0
828,5
829,0
830,0
831,2
832,1
833,0
834,2
835,0
836,0
837,3
838,2
839,0
840,5
841,0
842,0
843,2
844,1
845,0
846,0
847,2
848,2
849,2
850,2
851,0
852,2
853,1
854,1
855,0
856,0
857,1
858,5
859,0
860,0
861,2
862,2
863,2
864,2
865,0
866,2
867,1
868,1
869,0
870,0
871,1
872,0
873,5
874,2
875,2
876,2
877,2
878,0
879,2
880,1
881,1
882,0
883,0
884,1
885,0
886,1
887,1
888,1
889,0
890,0
891,5
892,4
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,2
901,0
902,2
903,0
904,0
905,0
906,0
907,4
908,4
909,0
910,0
911,1
912,2
913,0
914,0
915,0
916,1
917,0
918,3
919,5
920,0
921,3
922,0
923,0
924,5
925,0
926,0
927,5
928,2
929,2
930,2
931,0
932,2
933,0
934,3
935,0
936,0
937,0
938,3
939,0
940,0
941,1
942,0
943,2
944,1
945,4
946,1
947,4
948,4
949,0
950,3
951,0
952,2
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,5
963,5
964,1
965,0
966,0
967,3
968,1
969,0
970,2
971,0
972,1
973,1
974,0
975,0
976,2
977,0
978,0
979,2
980,1
981,0
982,0
983,0
984,0
985,0
986,1
987,5
988,0
989,0
990,1
991,0
992,0
993,5
994,0
995,2
996,5
997,2
998,5
999,0
1000,5
1001,0
1002,5
1003,2
1004,2
1005,0
1006,3
1007,3
1008,0
1009,1
1010,2
1011,0
1012,2
1013,0
1014,0
1015,1
1016,3
1017,3
1018,0
1019,3
1020,5
1021,3
1022,2
1023,1
1024,0
1025,0
1026,1
1027,0
1028,0
1029,2
1030,2
1031,0
1032,0
1033,0
1034,0
1035,3
1036,3
1037,0
1038,2
1039,2
1040,5
1041,5
1042,0
1043,0
1044,3
1045,3
1046,2
1047,2
1048,3
1049,0
1050,3
1051,3
1052,0
1053,1
1054,2
1055,5
1056,4
1057,5
1058,1
1059,5
1060,0
1061,2
1062,0
1063,1
1064,5
1065,0
1066,0
1067,1
1068,2
1069,2
1070,2
1071,3
1072,0
1073,0
1074,0
1075,3
1076,0
1077,0
1078,2
1079,0
1080,3
1081,0
1082,0
1083,0
1084,3
1085,0
1086,1
1087,0
1088,0
1089,3
1090,2
1091,0
1092,0
1093,2
1094,2
1095,0
1096,0
1097,0
1098,0
1099,1
1100,1
1101,1
1102,2
1103,3
1104,3
1105,0
1106,1
1107,2
1108,0
1109,0
1110,0
1111,1
1112,0
1113,1
1114,1
1115,1
1116,2
1117,0
1118,0
1119,0
1120,0
1121,1
1122,1
1123,1
1124,2
1125,2
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,3
1133,5
1134,2
1135,0
1136,4
1137,2
1138,2
1139,0
1140,0
1141,2
1142,0
1143,0
1144,0
1145,2
1146,2
1147,2
1148,0
1149,0
1150,0
1151,2
1152,0
1153,2
1154,0
1155,0
1156,0
1157,0
1158,4
1159,0
1160,3
1161,0
1162,4
1163,3
1164,0
1165,0
1166,0
1167,4
1168,2
1169,0
1170,0
1171,0
1172,2
1173,1
1174,1
1175,1
1176,0
1177,0
1178,0
1179,0
1180,1
1181,4
1182,0
1183,2
1184,3
1185,2
1186,3
1187,3
1188,3
1189,5
1190,0
1191,0
1192,0
1193,0
1194,3
1195,3
1196,5
1197,0
1198,0
1199,0
1200,0
1201,1
1202,0
1203,2
1204,0
1205,0
1206,0
1207,3
1208,2
1209,0
1210,0
1211,0
1212,2
1213,2
1214,0
1215,0
1216,0
1217,0
1218,0
1219,5
1220,0
1221,2
1222,5
1223,0
1224,0
1225,0
1226,4
1227,2
1228,0
1229,0
1230,0
1231,2
1232,3
1233,2
1234,1
