index,emotion
0,0
1,0
2,0
3,0
4,2
5,0
6,3
7,0
8,0
9,2
10,2
11,2
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,1
20,1
21,0
22,3
23,3
24,1
25,3
26,2
27,2
28,3
29,0
30,0
31,3
32,1
33,0
34,0
35,1
36,0
37,0
38,0
39,0
40,0
41,0
42,4
43,1
44,0
45,4
46,2
47,0
48,0
49,0
50,3
51,0
52,4
53,4
54,5
55,5
56,0
57,0
58,2
59,2
60,0
61,0
62,0
63,0
64,3
65,0
66,4
67,4
68,0
69,0
70,2
71,4
72,0
73,0
74,0
75,0
76,1
77,0
78,0
79,0
80,3
81,1
82,0
83,3
84,3
85,3
86,3
87,2
88,2
89,3
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,4
98,4
99,5
100,4
101,3
102,0
103,4
104,0
105,3
106,0
107,0
108,4
109,3
110,6
111,2
112,0
113,4
114,0
115,3
116,0
117,3
118,0
119,0
120,0
121,2
122,2
123,1
124,2
125,2
126,2
127,2
128,0
129,0
130,0
131,0
132,2
133,2
134,1
135,2
136,2
137,0
138,0
139,1
140,0
141,2
142,0
143,2
144,0
145,3
146,0
147,3
148,2
149,2
150,1
151,0
152,4
153,3
154,2
155,3
156,2
157,2
158,2
159,3
160,4
161,2
162,4
163,2
164,2
165,2
166,3
167,4
168,4
169,0
170,0
171,0
172,0
173,2
174,0
175,3
176,0
177,3
178,0
179,0
180,2
181,0
182,0
183,0
184,4
185,0
186,0
187,0
188,2
189,0
190,0
191,0
192,0
193,0
194,0
195,4
196,0
197,0
198,4
199,0
200,0
201,3
202,0
203,0
204,2
205,0
206,4
207,4
208,0
209,0
210,3
211,0
212,0
213,0
214,1
215,3
216,4
217,4
218,0
219,1
220,4
221,3
222,4
223,4
224,0
225,4
226,4
227,1
228,2
229,2
230,3
231,0
232,0
233,3
234,0
235,0
236,1
237,0
238,2
239,0
240,1
241,1
242,0
243,4
244,2
245,0
246,0
247,2
248,4
249,0
250,4
251,4
252,4
253,1
254,0
255,1
256,4
257,2
258,0
259,3
260,4
261,4
262,0
263,4
264,4
265,3
266,4
267,4
268,0
269,0
270,0
271,0
272,2
273,0
274,1
275,0
276,0
277,2
278,1
279,0
280,0
281,0
282,2
283,0
284,1
285,0
286,2
287,0
288,0
289,0
290,2
291,2
292,0
293,2
294,0
295,0
296,0
297,0
298,3
299,2
300,0
301,0
302,3
303,2
304,2
305,2
306,0
307,0
308,1
309,5
310,3
311,4
312,0
313,0
314,0
315,2
316,0
317,3
318,3
319,2
320,4
321,2
322,3
323,0
324,4
325,0
326,5
327,3
328,4
329,4
330,2
331,0
332,5
333,2
334,3
335,2
336,2
337,2
338,0
339,5
340,2
341,1
342,4
343,4
344,4
345,2
346,2
347,2
348,2
349,0
350,0
351,4
352,4
353,4
354,0
355,0
356,0
357,0
358,0
359,2
360,2
361,0
362,0
363,0
364,1
365,6
366,0
367,0
368,0
369,0
370,1
371,6
372,0
373,2
374,0
375,0
376,3
377,3
378,4
379,0
380,4
381,0
382,0
383,1
384,0
385,3
386,3
387,3
388,3
389,1
390,6
391,0
392,2
393,0
394,2
395,3
396,0
397,4
398,0
399,0
400,3
401,0
402,0
403,4
404,0
405,0
406,2
407,4
408,1
409,0
410,4
411,0
412,3
413,6
414,2
415,4
416,0
417,1
418,0
419,0
420,1
421,2
422,2
423,3
424,2
425,4
426,6
427,6
428,0
429,0
430,5
431,2
432,2
433,4
434,2
435,1
436,3
437,0
438,1
439,1
440,0
441,0
442,0
443,0
444,0
445,0
446,1
447,4
448,1
449,1
450,0
451,4
452,2
453,2
454,2
455,2
456,0
457,2
458,2
459,2
460,0
461,2
462,2
463,2
464,2
465,0
466,0
467,0
468,0
469,6
470,2
471,2
472,3
473,3
474,2
475,2
476,2
477,2
478,0
479,2
480,2
481,0
482,3
483,6
484,0
485,0
486,6
487,3
488,4
489,0
490,1
491,0
492,6
493,6
494,3
495,6
496,3
497,4
498,0
499,1
500,0
501,1
502,4
503,2
504,1
505,0
506,1
507,4
508,2
509,0
510,3
511,4
512,1
513,4
514,2
515,4
516,0
517,0
518,2
519,0
520,0
521,6
522,0
523,0
524,5
525,6
526,0
527,4
528,0
529,0
530,1
531,0
