index,T/F
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,1
8,1
9,1
10,0
11,1
12,0
13,0
14,0
15,0
16,1
17,0
18,0
19,0
20,0
21,1
22,0
23,0
24,1
25,1
26,0
27,1
28,0
29,0
30,1
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,1
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,0
48,1
49,0
50,0
51,0
52,0
53,1
54,0
55,1
56,1
57,0
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,0
71,0
72,0
73,0
74,1
75,0
76,0
77,0
78,1
79,0
80,0
81,0
82,0
83,0
84,1
85,0
86,1
87,0
88,1
89,0
90,0
91,0
92,1
93,0
94,1
95,1
96,0
97,0
98,1
99,0
100,0
101,0
102,0
103,1
104,1
105,1
106,0
107,1
108,0
109,0
110,0
111,1
112,1
113,1
114,0
115,0
116,1
117,0
118,1
119,1
120,0
121,0
122,0
123,1
124,1
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,1
139,1
140,0
141,1
142,0
143,1
144,0
145,0
146,0
147,1
148,0
149,0
150,0
151,0
152,0
153,1
154,1
155,0
156,1
157,0
158,0
159,1
160,1
161,0
162,0
163,1
164,0
165,0
166,0
167,1
168,1
169,1
170,1
171,1
172,0
173,0
174,0
175,0
176,0
177,0
178,1
179,1
180,0
181,1
182,0
183,1
184,0
185,1
186,1
187,0
188,0
189,1
190,0
191,0
192,1
193,1
194,1
195,1
196,0
197,0
198,1
199,1
200,0
201,0
202,1
203,0
204,0
205,1
206,1
207,0
208,1
209,0
210,0
211,0
212,0
213,0
214,1
215,0
216,0
217,0
218,0
219,1
220,1
221,0
222,1
223,1
224,1
225,0
226,0
227,0
228,0
229,1
230,0
231,0
232,0
233,0
234,1
235,1
236,1
237,0
238,0
239,1
240,1
241,0
242,0
243,1
244,0
245,0
246,1
247,1
248,0
249,0
250,0
251,0
252,1
253,1
254,0
255,0
256,0
257,0
258,0
259,1
260,0
261,1
262,0
263,1
264,0
265,0
266,0
267,0
268,0
269,1
270,0
271,1
272,1
273,1
274,0
275,1
276,0
277,0
278,0
279,1
280,1
281,0
282,0
283,1
284,1
285,1
286,0
287,1
288,0
289,1
290,1
291,0
292,0
293,0
294,0
295,0
296,1
297,1
298,0
299,0
300,1
301,1
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,1
310,1
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,1
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,1
332,0
333,0
334,0
335,1
336,1
337,0
338,1
339,0
340,0
341,0
342,0
343,1
344,1
345,0
346,0
347,0
348,0
349,0
350,0
351,1
352,1
353,0
354,1
355,0
356,0
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,1
367,0
368,1
369,0
370,0
371,0
372,1
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,1
381,1
382,1
383,0
384,1
385,1
386,0
387,1
388,1
389,0
390,1
391,1
392,1
393,0
394,0
395,0
396,1
397,0
398,0
399,1
400,0
401,0
402,0
403,0
404,0
405,0
406,1
407,1
408,0
409,0
410,0
411,0
412,1
413,0
414,0
415,0
416,1
417,0
418,0
419,0
420,0
421,1
422,1
423,0
424,1
425,0
426,0
427,1
428,0
429,1
430,0
431,1
432,0
433,0
434,0
435,0
436,0
437,1
438,0
439,0
440,0
441,0
442,1
443,0
444,0
445,1
446,0
447,0
448,0
449,1
450,0
451,0
452,0
453,1
454,1
455,0
456,1
457,1
458,0
459,0
460,0
461,1
462,1
463,1
464,0
465,1
466,0
467,0
468,1
469,1
470,0
471,0
472,1
473,1
474,1
475,1
476,1
477,0
478,1
479,0
480,1
481,0
482,1
483,0
484,1
485,0
486,0
487,1
488,1
489,1
490,0
491,0
492,1
493,0
494,0
495,1
496,1
497,1
498,0
499,0
500,0
501,1
502,0
503,1
504,0
505,0
506,0
507,0
508,0
509,1
510,0
511,1
512,0
513,1
514,0
515,1
516,0
517,1
518,0
519,0
520,0
521,0
522,1
523,1
524,1
525,1
526,1
527,0
528,0
529,1
530,0
531,1
